timestamp,git_sha,hostname,os,cpu_model,jdk_version,mode,latency_kind,acks,partitions,replication_factor,min_insync_replicas,payload_size,batch_size,linger_ms,warmup_records,compression,flush_messages,records,bytes,elapsed_s,records_per_s,bytes_per_s,samples,p50_us,p99_us,p999_us,max_us
2026-07-26T08:01:53Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,producer,per_rpc,1,1,1,,256,1,,119999,,,432697,110770432,30.003802,14421.41,3691879.82,432697,68.22,88.51,206.34,15540.22
2026-07-26T08:02:34Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,batch-producer,per_record,all,1,1,,256,65536,5,8825678,none,,29458832,7541460992,30.005772,981772.18,251333677.16,29458832,7630.85,40435.71,537919.49,813694.98
2026-07-26T08:03:15Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,produce-batch,per_rpc,1,1,1,,256,500,,13562500,,,38009500,9730432000,29.996656,1267124.59,324383894.03,76019,209.15,1845.25,18628.61,1579155.46
2026-07-26T08:03:56Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,consumer,per_fetch_rpc,,1,1,,,,,22995000,,,87017706,22276532736,29.995156,2901058.59,742670999.57,24873,1116.16,2506.75,3340.29,5730.30
2026-07-26T08:04:37Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,producer,per_rpc,1,1,1,,1024,1,,123335,,,407116,416886784,30.002924,13569.21,13894871.67,407116,71.23,92.22,161.28,53182.46
2026-07-26T08:05:20Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,batch-producer,per_record,all,1,1,,1024,65536,5,2417681,none,,8658129,8865924096,31.578698,274176.25,280756483.78,8658129,27639.81,65470.46,1957691.39,1960837.12
2026-07-26T08:06:01Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,produce-batch,per_rpc,1,1,1,,1024,500,,3464500,,,9116500,9335296000,29.997320,303910.48,311204329.93,18233,707.07,13164.54,71106.56,2531262.46
2026-07-26T08:06:42Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,consumer,per_fetch_rpc,,1,1,,,,,9361000,,,28258261,28936459264,29.997428,942022.81,964631352.58,28259,896.51,3227.65,10805.25,59637.76
2026-07-26T08:07:23Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,producer,per_rpc,1,1,1,,4096,1,,97627,,,394023,1613918208,30.003254,13132.68,53791439.69,394023,64.86,193.02,811.52,47611.90
2026-07-26T08:08:04Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,batch-producer,per_record,all,1,1,,4096,65536,5,345473,none,,1715281,7025790976,30.105868,56974.97,233369485.56,1715281,123535.36,2034237.44,3674210.30,3676307.46
2026-07-26T08:08:45Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,produce-batch,per_rpc,1,1,1,,4096,255,,703545,,,2673675,10951372800,30.006846,89102.17,364962480.12,10485,1507.33,16687.10,59408.38,2881486.85
2026-07-26T08:09:26Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,consumer,per_fetch_rpc,,1,1,,,,,1938000,,,7089619,29039079424,29.996089,236351.44,968095514.77,27803,1052.67,1912.83,2758.66,3899.39
2026-07-26T08:10:14Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,cluster-producer,per_rpc,1,3,3,,256,1,,131822,,,480045,122891520,29.995590,16003.85,4096986.25,480045,58.75,106.30,283.39,47677.44
2026-07-26T08:11:04Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,cluster-producer,per_rpc,all,3,3,,256,1,,170,,,516,132096,30.003205,17.20,4402.73,516,60489.73,69992.45,,71499.78
2026-07-26T08:11:52Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,cluster-producer,per_rpc,all,3,3,2,256,1,,169,,,513,131328,29.972609,17.12,4381.60,513,60653.57,71303.17,,73859.07
2026-07-26T08:12:40Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,cluster-producer,per_rpc,1,3,3,,1024,1,,104050,,,432381,442758144,29.997127,14414.08,14760018.15,432381,58.02,200.70,710.14,43679.74
2026-07-26T08:13:35Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,cluster-producer,per_rpc,all,3,3,,1024,1,,168,,,520,532480,30.005405,17.33,17746.14,520,59965.44,68878.34,,71696.38
2026-07-26T08:14:23Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,cluster-producer,per_rpc,all,3,3,2,1024,1,,171,,,521,533504,29.999191,17.37,17783.95,521,59965.44,63635.46,,70778.88
2026-07-26T08:15:10Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,cluster-producer,per_rpc,1,3,3,,4096,1,,79147,,,279836,1146208256,29.992310,9330.26,38216737.56,279836,73.86,523.01,2807.81,67371.01
2026-07-26T08:16:42Z,c260f59,Jeremaines-MacBook-Air-2.local,Mac OS X 15.2 aarch64,Apple M2,21.0.2,cluster-producer,per_rpc,all,3,3,,4096,1,,153,,,471,1929216,30.033892,15.68,64234.63,471,64323.58,81657.86,,84213.76
